FIPS,county,census_2020_count,july1_2023_pop_est,jan1_2024_pop_est,num_chg_20_23,num_chg_20_24,pct_chg_20_23,pct_chg_20_24
449,Titus,31247,31319,31371,72,124,0.2,0.4
451,Tom Green,120003,120397,121038,394,1035,0.3,0.9
453,Travis,1290188,1353237,1366769,63049,76581,4.9,5.9
455,Trinity,13602,14297,14437,695,835,5.1,6.1
457,Tyler,19798,20340,20456,542,658,2.7,3.3
459,Upshur,40892,43274,43438,2382,2546,5.8,6.2
461,Upton,3308,3234,3219,-74,-89,-2.2,-2.7
463,Uvalde,24564,24758,24827,194,263,0.8,1.1
465,Val Verde,47586,47518,47565,-68,-21,-0.1,-0.0
467,Van Zandt,59541,63034,63328,3493,3787,5.9,6.4
469,Victoria,91319,91781,92147,462,828,0.5,0.9
471,Walker,76400,80890,82048,4490,5648,5.9,7.4
473,Waller,56794,63614,64391,6820,7597,12.0,13.4
475,Ward,11644,11518,11496,-126,-148,-1.1,-1.3
477,Washington,35805,36919,37349,1114,1544,3.1,4.3
479,Webb,267114,272605,273411,5491,6297,2.1,2.4
481,Wharton,41570,41700,41711,130,141,0.3,0.3
483,Wheeler,4990,4865,4841,-125,-149,-2.5,-3.0
485,Wichita,129350,130017,130200,667,850,0.5,0.7
487,Wilbarger,12887,12530,12597,-357,-290,-2.8,-2.3
489,Willacy,20164,20124,20124,-40,-40,-0.2,-0.2
491,Williamson,609017,698870,713134,89853,104117,14.8,17.1
493,Wilson,49753,52960,53266,3207,3513,6.4,7.1
495,Winkler,7791,7608,7585,-183,-206,-2.3,-2.6
497,Wise,68632,77625,79619,8993,10987,13.1,16.0
499,Wood,44843,47887,48218,3044,3375,6.8,7.5
501,Yoakum,7694,7571,7612,-123,-82,-1.6,-1.1
503,Young,17867,18284,18450,417,583,2.3,3.3
505,Zapata,13889,13471,13292,-418,-597,-3.0,-4.3
507,Zavala,9670,9552,9494,-118,-176,-1.2,-1.8
509,State of Texas,29145505,30516218,30749924,1370713,1604419,4.7,5.5
